a :0.0,Iterations: 2 : 1.0,1.0,1.0,15.980381921424
a :0.01,Iterations: 30 : 0.7038017760684492,0.04872009794269098,0.10041977510144488,0.0070474809509865535
a :0.02,Iterations: 16 : 0.7034178778995327,0.04715869783951305,0.09886482605986056,0.006864830510664909
a :0.03,Iterations: 10 : 0.7032075817542245,0.04681697377722127,0.09862027930270996,0.006843231502496235
a :0.04,Iterations: 7 : 0.703022007850166,0.046555199710084164,0.09845167682480394,0.006819259903215195
a :0.05,Iterations: 5 : 0.7028265926326664,0.046430393035217565,0.09845303559175765,0.006803536735603866
a :0.06,Iterations: 5 : 0.7031018819101638,0.0464718508274187,0.09829096369341168,0.006805582711374661
a :0.07,Iterations: 7 : 0.7041108568125003,0.04655233532073954,0.09762121178079035,0.0068277448176902455
a :0.08,Iterations: 9 : 0.7051038831591813,0.04599566242560662,0.09622698938085089,0.006959382309329428
a :0.09,Iterations: 13 : 0.7067380605093139,0.04415780142126999,0.09289959336956129,0.0074414943973516124
a :0.1,Iterations: 37 : 0.7187228756047328,0.047898953563462576,0.08978296386597641,0.0069281752045282615
a :0.11,Iterations: 36006 : 4.442800210135766e+152,1.4192655960851349e+153,1.3403048169578117e+153,inf
a :0.12,Iterations: 2005 : -6.53806910326269e+152,-2.0886054074451276e+153,-1.9724059372992234e+153,inf
a :0.13,Iterations: 1109 : -8.855217964047927e+152,-2.828825427156492e+153,-2.671443848712272e+153,inf
a :0.14,Iterations: 798 : 1.3805321651799863e+153,4.410150611451863e+153,4.164792075805245e+153,inf
a :0.15,Iterations: 639 : -1.9814449441384637e+153,-6.329784160306894e+153,-5.977626896448551e+153,inf
a :0.16,Iterations: 542 : 2.7661532850501135e+153,8.836558038358263e+153,8.344936519850938e+153,inf
a :0.17,Iterations: 476 : 2.8393141209135802e+153,9.070272480625916e+153,8.565648269383938e+153,inf
a :0.18,Iterations: 428 : 2.4550636055001983e+153,7.842772906010726e+153,7.406440579710809e+153,inf
a :0.19,Iterations: 392 : 3.303202082908746e+153,1.0552176220964642e+154,9.965106360189828e+153,inf
a :0.2,Iterations: 364 : 6.173782749021234e+153,1.9722330599966298e+154,1.8625079602918555e+154,inf
a :0.21,Iterations: 341 : -7.920464083279545e+153,-2.5302155502696158e+154,-2.3894471192159465e+154,inf
a :0.22,Iterations: 322 : 1.0539446279715566e+154,3.36685711692866e+154,3.179542169045493e+154,inf
a :0.23,Iterations: 306 : 1.4145063190116533e+154,4.518682045252069e+154,4.267285368050896e+154,inf
a :0.24,Iterations: 292 : 1.2895717920721647e+154,4.1195750238652836e+154,3.890382648276727e+154,inf
a :0.25,Iterations: 280 : 1.4063950264949513e+154,4.4927702827053885e+154,4.242815205275879e+154,inf
a :0.26,Iterations: 269 : -8.059038779961003e+153,-2.5744836447563398e+154,-2.431252360209429e+154,inf
a :0.27,Iterations: 260 : 1.2898621625208193e+154,4.120502620805061e+154,3.891258638401483e+154,inf
a :0.28,Iterations: 252 : 2.098673209315435e+154,6.704273301805638e+154,6.331281351001437e+154,inf
a :0.29,Iterations: 244 : 1.0204763002007464e+154,3.2599415593592583e+154,3.078574853827488e+154,inf
a :0.3,Iterations: 238 : 3.245933160080841e+154,1.0369228962366184e+155,9.792337364291454e+154,inf
a :0.31,Iterations: 232 : 4.259052461196278e+154,1.3605668371733667e+155,1.2848717609210133e+155,inf
a :0.32,Iterations: 226 : 2.4450155177661045e+154,7.810673994169244e+154,7.376127489420373e+154,inf
a :0.33,Iterations: 221 : -3.255676820441153e+154,-1.0400355372007061e+155,-9.821732057498531e+154,inf
a :0.34,Iterations: 216 : 2.251183497928236e+154,7.19147190502743e+154,6.791374681322759e+154,inf
a :0.35000000000000003,Iterations: 212 : 4.534422612240221e+154,1.4485346419541924e+155,1.367945480744961e+155,inf
a :0.36,Iterations: 208 : 5.460789066728743e+154,1.7444651308434827e+155,1.6474118898773112e+155,inf
a :0.37,Iterations: 204 : 4.047138895019824e+154,1.2928704250925814e+155,1.220941635754226e+155,inf
a :0.38,Iterations: 200 : 1.8950499092336897e+154,6.053792679904097e+154,5.716990189940945e+154,inf
a :0.39,Iterations: 197 : -3.517809264391298e+154,-1.123774517510331e+155,-1.0612533715663946e+155,inf
a :0.4,Iterations: 194 : 4.581753351136685e+154,1.4636545857229417e+155,1.382224227105956e+155,inf
a :0.41000000000000003,Iterations: 191 : -4.261810472248348e+154,-1.3614478919169258e+155,-1.2857037982225968e+155,inf
a :0.42,Iterations: 188 : 2.877691312006498e+154,9.192869546477093e+154,8.681424652858936e+154,inf
a :0.43,Iterations: 186 : 9.818225452411642e+154,3.1364610021006114e+155,2.961964131950683e+155,inf
a :0.44,Iterations: 183 : -3.748043930608985e+154,-1.1973236588927032e+155,-1.1307106096970308e+155,inf
a :0.45,Iterations: 181 : -7.816771823688384e+154,-2.49709075292169e+155,-2.358165218514174e+155,inf
a :0.46,Iterations: 179 : -1.3120878538060775e+155,-4.1915032454075616e+155,-3.9583091463714073e+155,inf
a :0.47000000000000003,Iterations: 177 : -1.789283097579523e+155,-5.715917488834482e+155,-5.397912670292551e+155,inf
a :0.48,Iterations: 175 : -1.9997051720180655e+155,-6.388116995411808e+155,-6.032714386833426e+155,inf
a :0.49,Iterations: 173 : -1.8465503567726423e+155,-5.898859432902685e+155,-5.570676647334327e+155,inf
a :0.5,Iterations: 171 : -1.4196194937848317e+155,-4.535016232474326e+155,-4.2827108034841707e+155,inf
a :0.51,Iterations: 169 : -9.151567732038096e+154,-2.9234952322845062e+155,-2.760846703388333e+155,inf
